month,weekday,hour,avg_trip_count
3,1,4,15
3,1,5,1633
3,1,6,5699
3,1,7,11140
3,1,8,14190
3,1,9,9327
3,1,10,5435
3,1,11,4452
3,1,12,4459
3,1,13,4529
3,1,14,5431
3,1,15,7665
3,1,16,11010
3,1,17,14935
3,1,18,11480
3,1,19,6338
3,1,20,3580
3,1,21,2338
3,1,22,1947
3,1,23,1440
3,2,0,641
3,2,1,126
3,2,2,7
3,2,3,3
3,2,4,18
3,2,5,1753
3,2,6,5718
3,2,7,11251
3,2,8,13956
3,2,9,9668
3,2,10,5572
3,2,11,4529
3,2,12,4571
3,2,13,4944
3,2,14,5880
3,2,15,8089
3,2,16,10825
3,2,17,15235
3,2,18,11906
3,2,19,6413
3,2,20,3655
3,2,21,2466
3,2,22,2252
3,2,23,1606
3,3,0,664
3,3,1,130
3,3,2,8
3,3,3,3
3,3,4,17
3,3,5,1760
3,3,6,5639
3,3,7,10973
3,3,8,13815
3,3,9,8971
3,3,10,5690
3,3,11,4705
3,3,12,4739
3,3,13,4921
3,3,14,5846
3,3,15,8012
3,3,16,11183
3,3,17,14903
3,3,18,11884
3,3,19,6752
3,3,20,3913
3,3,21,2676
3,3,22,2386
3,3,23,1867
3,4,0,849
3,4,1,158
3,4,2,8
3,4,3,2
3,4,4,16
3,4,5,1520
3,4,6,4813
3,4,7,9230
3,4,8,10543
3,4,9,7329
3,4,10,5452
3,4,11,4815
3,4,12,4837
3,4,13,5330
3,4,14,6284
3,4,15,8003
3,4,16,10581
3,4,17,12580
3,4,18,10716
3,4,19,6723
3,4,20,3905
3,4,21,2746
3,4,22,2338
3,4,23,2216
3,5,0,1266
3,5,1,288
3,5,2,26
3,5,3,2
3,5,4,1
3,5,5,21
3,5,6,727
3,5,7,2107
3,5,8,3120
3,5,9,3822
3,5,10,4224
3,5,11,5024
3,5,12,5138
3,5,13,5368
3,5,14,5348
3,5,15,5539
3,5,16,5916
3,5,17,6031
3,5,18,5473
3,5,19,4458
3,5,20,3090
3,5,21,2749
3,5,22,2170
3,5,23,1960
3,6,0,1049
3,6,1,229
3,6,2,36
3,6,3,11
3,6,4,2
3,6,5,3
3,6,6,8
3,6,7,248
3,6,8,2080
3,6,9,2612
3,6,10,2882
3,6,11,3707
3,6,12,4066
3,6,13,3909
3,6,14,4026
3,6,15,3898
3,6,16,3996
3,6,17,4342
3,6,18,4112
3,6,19,3145
3,6,20,2402
3,6,21,1833
3,6,22,1439
3,6,23,952
4,0,0,466
4,0,1,99
4,0,2,6
4,0,3,2
4,0,4,18
4,0,5,1602
4,0,6,5341
4,0,7,10193
4,0,8,12207
4,0,9,8495
4,0,10,5072
4,0,11,4613
4,0,12,4450
4,0,13,4611
4,0,14,5481
4,0,15,7343
4,0,16,10402
4,0,17,14384
4,0,18,10804
4,0,19,5646
4,0,20,3284
4,0,21,2220
4,0,22,2328
4,0,23,1818
4,1,0,716
4,1,1,120
4,1,2,6
4,1,3,2
4,1,4,16
4,1,5,1808
4,1,6,5964
4,1,7,12514
4,1,8,14674
4,1,9,11098
4,1,10,5839
4,1,11,4843
4,1,12,4686
4,1,13,4924
4,1,14,5799
4,1,15,8115
4,1,16,12299
4,1,17,16810
4,1,18,13135
4,1,19,6698
4,1,20,3778
4,1,21,2551
4,1,22,2640
4,1,23,2103
4,2,0,696
4,2,1,129
4,2,2,6
4,2,3,1
4,2,4,14
4,2,5,1772
4,2,6,6141
4,2,7,12283
4,2,8,15585
4,2,9,10223
4,2,10,6098
4,2,11,5102
4,2,12,5058
4,2,13,5381
4,2,14,6268
4,2,15,8752
4,2,16,12591
4,2,17,16908
4,2,18,13011
4,2,19,7185
4,2,20,4022
4,2,21,2798
4,2,22,2684
4,2,23,2246
4,3,0,793
