month,day,hour,trip_count
1,14,8,7294
1,14,9,4812
1,14,10,3521
1,14,11,3435
1,14,12,3640
1,14,13,3848
1,14,14,4626
1,14,15,5937
1,14,16,7705
1,14,17,9120
1,14,18,7056
1,14,19,4322
1,14,20,2451
1,14,21,1832
1,14,22,1579
1,14,23,1271
1,15,0,698
1,15,1,184
1,15,2,13
1,15,3,2
1,15,4,4
1,15,5,14
1,15,6,711
1,15,7,1514
1,15,8,2445
1,15,9,2776
1,15,10,3157
1,15,11,3467
1,15,12,3591
1,15,13,3849
1,15,14,3945
1,15,15,3964
1,15,16,4380
1,15,17,4404
1,15,18,4214
1,15,19,2839
1,15,20,1870
1,15,21,1565
1,15,22,2114
1,15,23,1767
1,16,0,567
1,16,1,135
1,16,2,1
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,11
1,16,7,282
1,16,8,1581
1,16,9,1805
1,16,10,2369
1,16,11,2543
1,16,12,3032
1,16,13,2814
1,16,14,2862
1,16,15,2917
1,16,16,2757
1,16,17,3170
1,16,18,3013
1,16,19,2420
1,16,20,1648
1,16,21,1331
1,16,22,541
1,16,23,34
1,17,0,1
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,2
1,17,5,23
1,17,6,1292
1,17,7,2955
1,17,8,3216
1,17,9,3034
1,17,10,2832
1,17,11,3068
1,17,12,3091
1,17,13,3255
1,17,14,3713
1,17,15,3936
1,17,16,4295
1,17,17,4785
1,17,18,3855
1,17,19,2470
1,17,20,1787
1,17,21,1411
1,17,22,955
1,17,23,580
1,18,0,326
1,18,1,72
1,18,2,6
1,18,3,0
1,18,4,13
1,18,5,1499
1,18,6,4534
1,18,7,8283
1,18,8,8902
1,18,9,5540
1,18,10,3555
1,18,11,3193
1,18,12,3157
1,18,13,3367
1,18,14,4246
1,18,15,5894
1,18,16,8070
1,18,17,9797
1,18,18,7440
1,18,19,3855
1,18,20,2111
1,18,21,1358
1,18,22,1590
1,18,23,1067
1,19,0,401
1,19,1,83
1,19,2,3
1,19,3,0
1,19,4,4
1,19,5,1510
1,19,6,4616
1,19,7,8309
1,19,8,8925
1,19,9,5388
1,19,10,3522
1,19,11,3285
1,19,12,3225
1,19,13,3627
1,19,14,4050
1,19,15,5520
1,19,16,8690
1,19,17,10034
1,19,18,7256
1,19,19,3769
1,19,20,2061
1,19,21,1470
1,19,22,1130
1,19,23,838
1,20,0,408
1,20,1,98
1,20,2,8
1,20,3,0
1,20,4,13
1,20,5,1467
1,20,6,4643
1,20,7,8322
1,20,8,8893
1,20,9,5167
1,20,10,4079
1,20,11,3135
1,20,12,3120
1,20,13,3521
1,20,14,4334
1,20,15,5966
1,20,16,8286
1,20,17,10293
1,20,18,8194
1,20,19,3909
1,20,20,2228
1,20,21,1649
1,20,22,1517
1,20,23,1477
1,21,0,494
1,21,1,96
1,21,2,2
1,21,3,0
1,21,4,9
1,21,5,1466
1,21,6,4209
1,21,7,7454
1,21,8,8082
1,21,9,5085
1,21,10,3658
1,21,11,3596
1,21,12,3509
1,21,13,4088
1,21,14,5046
1,21,15,6333
1,21,16,8482
1,21,17,9825
1,21,18,7877
1,21,19,4393
1,21,20,2479
1,21,21,1898
1,21,22,1997
1,21,23,1538
1,22,0,654
1,22,1,144
1,22,2,12
1,22,3,0
1,22,4,0
1,22,5,9
1,22,6,691
1,22,7,1546
1,22,8,2462
1,22,9,2840
1,22,10,3323
